sys.exec.out.time {s},rkt.dynamics.lonx {degree},rkt.dynamics.latx {degree},rkt.dynamics.alt {m},rkt.dynamics._dvbi {m/s},rkt.dynamics._SBII[0] {1},rkt.dynamics._SBII[1] {1},rkt.dynamics._SBII[2] {1},rkt.dynamics._VBII[0] {1},rkt.dynamics._VBII[1] {1},rkt.dynamics._VBII[2] {1},rkt.dynamics.thtbdx {degree}
               172.1,   121.0143114789662,   22.26140003562158,   92203.03891538922,   1014.065447916888,   5258154.682639073,  -2878487.103661249,   2427344.416303611,   945.3035426664776,     221.92007362618,    292.372067412119,   74.83464587578555
               172.2,   121.0145141233038,    22.2613986555597,   92281.00808425434,   1014.537100867714,    5258249.23453733,  -2878464.903680565,   2427373.659592446,    945.734431234908,   222.0796036302727,   292.4936995308983,   74.81780146775597
               172.3,   121.0147170840942,   22.26139727235567,   92359.01039391011,   1015.008873077315,   5258343.829527074,  -2878442.687727742,   2427402.915041557,   946.1653723210798,   222.2395164845516,   292.6152729419757,   74.80094826326243
               172.4,   121.0149203625841,    22.2613958860041,   92437.04583038203,   1015.480764217845,    5258438.46761353,  -2878420.455764477,   2427432.182645073,   946.5963654528947,   222.3998124768963,   292.7367876063229,   74.78408626083225
               172.5,   121.0151239581747,   22.26139449649969,   92515.11437963974,    1015.95277396024,   5258533.148801888,  -2878398.207752447,   2427461.462397108,    947.027410239453,   222.5604918473576,   292.8582432531543,   74.76721546563085
               172.6,   121.0153278721135,   22.26139310383691,    92593.2160275979,   1016.424901974322,   5258627.873097293,  -2878375.943653304,   2427490.754291737,   947.4585063618649,   222.7215547934739,   292.9796394059335,   74.75033587619566
               172.7,   121.0155321038025,   22.26139170801008,   92671.35076013207,    1016.89714793059,   5258722.640504861,  -2878353.663428676,   2427520.058322999,   947.8896533773841,    222.883001583315,   293.1009759360822,   74.73344749021676
               172.8,   121.0157366544859,    22.2613903090137,   92749.51856305543,   1017.369511500017,   5258817.451029653,  -2878331.367040164,   2427549.374484935,   948.3208507823728,   223.0448325200959,   293.2222528855232,   74.71655030413741
               172.9,   121.0159415235697,   22.26138890684245,    92827.7194221383,   1017.841992352595,   5258912.304676686,  -2878309.054449341,   2427578.702771581,   948.7520981478342,   223.2070478634675,    293.343470083208,   74.69964432274095
                 173,   121.0161467122984,   22.26138750149088,   92905.95332309138,   1018.314590156996,   5259007.201450937,  -2878286.725617753,   2427608.043176943,   949.1833951280377,   223.3696478238408,   293.4646271203326,   74.68272954675561
               173.1,   121.0163522200761,   22.26138609295332,   92984.22025220096,   1018.787322414966,   5259102.141357935,  -2878264.380507055,   2427637.395695215,   949.6147592090659,   223.5326287559872,   293.5857307281818,   74.66580597509882
